State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Kerala,Ernakulam,POTHANIKKADU VFPCK,Banana,Poovan,Large,2025-09-23,3500,4500,3500
Kerala,Ernakulam,POTHANIKKADU VFPCK,Banana,Robusta,Large,2025-09-23,1700,2250,1700
Kerala,Ernakulam,THURAVOOR VFPCK,Banana,Nendra Bale,Medium,2025-09-23,2600,2800,2700
Kerala,Kollam,Anchal VFPCK,Banana,Palayamthodan,Large,2025-09-23,2500,3500,3000
Kerala,Kollam,Anchal VFPCK,Banana,Poovan,Large,2025-09-23,3500,4000,3800
Kerala,Kollam,Anchal VFPCK,Banana,Robusta,Large,2025-09-23,2000,3000,2500
Kerala,Kottayam,Athirampuzha,Coconut,Other,FAQ,2025-09-23,7600,7800,7700
Kerala,Kottayam,Pampady,Banana,Medium,Medium,2025-09-23,4500,6000,5500
Kerala,Pathanamthitta,Kuttoor,Banana,Other,Medium,2025-09-23,4100,4500,4300
Kerala,Thiruvananthapuram,Vamanapuram,Banana,Other,Medium,2025-09-23,6000,6500,6500
Maharashtra,Pune,Pune(Moshi),Apple,Other,Local,2025-09-23,12000,20000,16000
Punjab,Bhatinda,Rampuraphul(Nabha Mandi),Apple,Other,Small,2025-09-23,3000,9000,5000
Punjab,Hoshiarpur,GarhShankar (Kotfatuhi),Apple,American,Medium,2025-09-23,2500,4000,3500
Punjab,Hoshiarpur,Mukerian,Papaya,Papaya,Medium,2025-09-23,2500,3500,3000
Uttar Pradesh,Badaun,Shahaswan,Banana,Amruthapani,Medium,2025-09-23,2000,2200,2100
Uttar Pradesh,Balrampur,Panchpedwa,Apple,Delicious,Medium,2025-09-23,7000,7200,7100
Uttar Pradesh,Balrampur,Panchpedwa,Rice,III,FAQ,2025-09-23,2600,3000,2800
Uttar Pradesh,Maharajganj,Anandnagar,Apple,Delicious,Medium,2025-09-23,7300,7700,7500
Uttar Pradesh,Maharajganj,Nautnava,Rice,III,FAQ,2025-09-23,2800,3150,2965
Uttar Pradesh,Meerut,Sardhana,Apple,Kasmir/Shimla - II,Medium,2025-09-23,2500,2550,2550
West Bengal,Medinipur(E),Kolaghat,Rice,Common,FAQ,2025-09-23,3600,3800,3700
West Bengal,Uttar Dinajpur,Islampur,Jute,TD-5,FAQ,2025-09-23,8400,8600,8500
West Bengal,Uttar Dinajpur,Islampur,Rice,Fine,FAQ,2025-09-23,4000,4200,4100
Andhra Pradesh,Vijayanagaram,Vijayanagaram,Banana,Banana - Ripe,Medium,2025-09-23,800,800,800
Haryana,Gurgaon,Gurgaon,Apple,Other,Large,2025-09-23,3000,5000,4000
Haryana,Hissar,Hansi,Orange,Other,Medium,2025-09-23,5000,6000,5500
Haryana,Hissar,Hansi,Pomegranate,Other,Medium,2025-09-23,8000,14000,10000
Haryana,Panchkula,Panchkul(Kalka),Apple,Apple,Large,2025-09-23,8500,9500,9000
Haryana,Rewari,Rewari,Banana,Other,Medium,2025-09-23,1800,3000,2400
Himachal Pradesh,Kangra,Dharamshala,Apple,Other,Medium,2025-09-23,5500,8000,6800
Himachal Pradesh,Kangra,Kangra(Nagrota Bagwan),Banana,Amruthapani,Medium,2025-09-23,3800,4200,4000
Himachal Pradesh,Kangra,Palampur,Pomegranate,Other,Medium,2025-09-23,6000,15000,10000
Kerala,Ernakulam,Thrippunithura,Banana,Poovan,Medium,2025-09-23,5500,8000,5700
Kerala,Ernakulam,THURAVOOR VFPCK,Banana,Palayamthodan,Medium,2025-09-23,1000,1200,1100
Kerala,Ernakulam,THURAVOOR VFPCK,Banana,Poovan,Medium,2025-09-23,4300,4500,4400
Kerala,Kannur,MANGATTIDOM VFPCK,Banana,Nendra Bale,Large,2025-09-23,5200,5200,5200
Kerala,Kollam,Anchal VFPCK,Banana,Nendra Bale,Large,2025-09-23,3500,4000,3800
Kerala,Kollam,KULATHOOPUZHA VFPCK,Banana,Nendra Bale,Large,2025-09-23,4000,4500,4200
Kerala,Kollam,KULATHOOPUZHA VFPCK,Banana,Poovan,Large,2025-09-23,3000,5000,4000
Kerala,Kottayam,Pampady,Coconut,Coconut,FAQ,2025-09-23,7300,8300,8000
